,id,keyword,location,text,target,text_cleaned
14,14,ablaze,"Reno, NV","AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,amen set whole system ablaze man
15,15,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,images showing havoc caused cameroon military torched houses okuthe shameless military
16,16,ablaze,,No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,cows today local factory sadly still ablaze redjanuary
17,17,ablaze,,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,rengoku sets heart ablaze ps missed style coloring c gui mie noren
18,18,ablaze,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,paulzizkaphoto rundle ablaze wishing good evening
19,19,ablaze,,French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,french cameroun set houses ablaze ndu roasted two young boys homes targeted killings
20,20,ablaze,,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,cameroons bir soldiers invaded southerncameroons village kimar setting ablaze total
21,21,ablaze,,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,fires ablaze throughout landas prophosized apocalypse comes fruitionnot building standingas come
22,22,ablaze,Italy,"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0,thankfultuesday isaiah pass waters pass
23,23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .","⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0,walk fire scorched flames set ablaze
24,24,ablaze,Okielahoma,Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,originally intended fired boarders opposing ships crew gunners shipss
25,25,ablaze,,Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0,warm greetings occasion lohri winter passes may everyones woes troubles set ablaze
26,26,ablaze,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,another arson njikomboyonwr ambazombies yesterday set ablaze council building country
27,27,ablaze,Havana 3am,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,another public market haiti mysteriously set ablaze independent merchants overwhelmingly women
28,28,ablaze,,that is kind true sadly,0,kind true sadly
29,29,ablaze,,I swear that jam will set the world ablaze,0,swear jam set world ablaze
30,30,ablaze,,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,marivan kurdistan province monday jan th protesters set propaganda banner qassemsoleimani ablaze
31,31,ablaze,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,marivan kurdistan province monday jan th protesters set propaganda banner qassemsoleimani
32,32,ablaze,India,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,turn blind eye icident setting ablaze houses
33,33,ablaze,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,love completely crazy youve fucking dreams ripped like torn jeans dont
34,34,accident,Wherever socks go in the dryer,Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0,terms demon burning dark ruined people cannot use magic interact without harm
35,35,accident,Kuala Lumpur,"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,heartfelt appreciation prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali
36,36,accident,,"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1,watch former cm akhilesh yadav went meet injured kannauj accident hospital chhibramau asks emergency
37,37,accident,"Sydney, New South Wales",❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,gave us everything horrible foot infection wore one
38,38,accident,Nigeria,"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,yeah new swag point since accident like totally transformed
39,39,accident,"Davanagere, India ","This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,cool days git push origin currentbranchname know
40,40,accident,"Lyndhurst, OH",#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,preorder newrelease today witnesses connected investigating thenutcrackerconspiracy died either
41,41,accident,"Covina, Ca",my back and neck are still fucked up from the accident 😡😡😭😭,0,back neck still fucked accident
42,42,accident,"Colorado, Brighton",RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,rt prince harry confirmed mothers princess diana death accident
43,43,accident,,Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,0,note democrats muslim ban islam race soleimani terrorist amp exterminated
44,44,accident,"North Carolina, USA",Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,0,juwan johnsonoregon one big dude looks like tight end stuck receiver group accident
45,45,accident,kurger bing,More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,0,appearances man upsidedown face new years eve party air force base
46,46,accident,"Faridabad, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,speeding car rammed group people returning attending temple festival ayyappan kavu
47,47,accident,60,My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,friend army lost father accident mom right still unconscious please pray
48,48,accident,ngovhela Mahunguni,MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,mlindo vocalist another car accident
49,49,accident,,"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…",0,greater treasures highest human qualities compassion courage hope even tragic
50,50,accident,Germany,Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0,please help friends non fault accident thats resulted vehicle
51,51,accident,"South Beach, FL",When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,0,hurt younger sibling accident
52,52,accident,"London, United Kingdom",David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,david camerons decision hold referendum expressed medium road traffic accident
53,53,accident,"Phoenix, AZ 85017",An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,auto accident injury set process motion get complicated find long takes
54,54,accident,"England, UK ",no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,0,one right call baby accident jd called blessing used loveliest word describe
55,55,accident,"Melbourne, Australia",I actually posted this by accident to twitter but have decided this can stay,0,actually posted accident twitter decided stay
56,56,accident,"Pearland, TX",Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0,question lets say happily married husband dies tragic accident deveststed pussy
57,57,accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,kampala metropolitan east custody two suspects allegedly strangled death
58,58,accident,"California, USA","In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0,completely available public information fires mostly started humans purpose accident
59,59,accident,,During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0,phd colleague went way bully cause work discomfort
60,60,accident,"Kerala, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,speeding car rammed group people returning attending temple festival ayyappan
61,61,accident,"Staffordshire,England","6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0,yr old bella needs new home due incident accident live older kids right
62,62,accident,,"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0,look shitshe need little ass whooped hit somebody accident lecheminduroi bransoncognac
63,63,accident,"Port Harcourt, Nigeria",You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0,youre accident earth youre gods divinely crafted masterpiece designed destiny
64,64,accident,,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,iran says shot ukraine international flight accident picture aircraft
65,65,accident,Everywhere,Saw this truck with the container almost falling off this morning. Reported…,1,saw truck container almost falling morning
66,66,accident,"Ann Arbor, MI",Judge less smile more. It isn’t the oldest profession by accident lol,0,judge less smile isnt oldest profession accident lol
67,67,aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,puerto rico hit another magnitude aftershock kyma
68,68,aftershock,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,aftershock asleep movement bed woke scary wish
69,69,aftershock,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,good night friends per usgs new quake morning caused day aftershock forecast
70,70,aftershock,Czech Republic,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0,yea wasnt long killed like seconds sure would
71,71,aftershock,USA,Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0,honored essay aftershock marking th anniversary alvin tofflers future shock compendium essays
72,72,aftershock,,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0,tickets sale aftershock nowplaying khdradio
73,73,aftershock,"Bay Area, CA",Come with us to Aftershock!,0,come us aftershock
74,74,aftershock,"Great Southwest, U.S.A.",o_O ! I think I felt your aftershock,0,oo think felt aftershock
75,75,aftershock,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,quick comparison ongoing puerto rico earthquake sequence central california
76,76,aftershock,,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,puerto ricans refusing go home aside aftershock ground southwest puerto rico
77,77,aftershock,Toronto,2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0,inception social network easy black swan toy story kids right aftershock
78,78,aftershock,Texas,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,puerto rico hit another magnitude aftershock kyma
79,79,aftershock,são paulo -sp,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,puerto rico hit another magnitude aftershock kyma
80,80,aftershock,"  Philippines ,From America",A other Hard hit https://t.co/x3e2mf6DKo,0,hard hit
81,81,aftershock,Islamabad,"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0,musharaf verdict mild aftershock extension one worry comes extention
82,82,aftershock,"Flatbush, Brooklyn",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,puerto rico hit another magnitude aftershock kyma
83,83,aftershock,"Surabaya, Indonesia",Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0,kumera yellow aftershock phfossil featured bankbtn good living magazine photography stylist
84,84,aftershock,,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,puerto rico hit another magnitude aftershock kyma
85,85,aftershock,NYC,Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0,please pray puertorico
86,86,aftershock,ethers,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,puerto rico hit another magnitude aftershock kyma
87,87,aftershock,"Ковров, Россия",И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0,snova krizise demografii yakovz
88,88,aftershock,"Planet Eyal, Shandral System",Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,darkake yeek possessor killed possession aftershock ritches tunnels
89,89,aftershock,,Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0,check latest video superzero vol closer look closer look superzero vol
90,90,aftershock,,Might be a small aftershock. I didn't feel anything,0,might small aftershock didnt feel anything
91,91,aftershock,"Brooklyn, NY","Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0,stay informed stay engaged whats going puertorico earthquake usgs day aftershock
92,92,aftershock,,This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0,isnt good feel people puerto rico
93,93,aftershock,"Melbourne, Victoria","Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0,aftershock vapor pro review aussie aussie aussie powerupau
94,94,aftershock,,Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0,puerto rico worker explains earthquake aftershock pleading go viral via
95,95,aftershock,Piscataway land // DC,this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0,unfathomable number lived large earthquake slept table one terrible
96,96,aftershock,DEPRESSED VIBES,nah I need calm down 💀 https://t.co/eOKphShN5R,0,nah need calm
97,97,aftershock,,thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,thinking spat blood marilyn mansons set aftershock
98,98,aftershock,,"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0,two quakes magnitude cannot say one others preshock aftershock one
99,99,aftershock,,"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,mm aftershock happens within days mm main shock predict say
100,100,aftershock,,I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0,dont think silivri aftershock silivri months ago quake professors always say
101,101,aftershock,"Bum Fuck, California",I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0,think aftershock lyrical beat brent never recovered
102,102,aftershock,,Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0,apex separating monarch theyre separation well theory
103,103,aftershock,"fresno, ca",thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,thinking spat blood marilyn mansons set aftershock
104,104,aftershock,,Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0,sending mate simon bar asking guiness ending carlsberg export mint
105,105,aftershock,,#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0,usgs earthquake experts puertorico installing temporary seismometers help track seismic events including jan
106,106,aftershock,"Wilmington, NC- USA",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,puerto rico hit another magnitude aftershock kyma
107,107,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎","Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,weekend puerto rico struck aftershock causing damage homes schools leaving
108,108,aftershock,DEPRESSED VIBES,How could you leave when I gave you my all 💔,0,could leave gave
109,109,aftershock,,"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0,full experience start one st series food running low save young
110,110,aftershock,NYC,The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,magnitude quake puertorico morning caused day aftershock forecast change estimate
111,111,aftershock,10.28.33N  / 066.57.79W,We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0,continue update day aftershock forecast scenarios puertorico forecasts posted english
112,112,aftershock,"Texas, USA",Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,another aftershock hit puerto rico last night people cannot go home even one
113,113,aftershock,"St Augustine, FL",Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0,aftershock comics prefer working partnership creators build team ground
114,114,aftershock,RVA✈️FLA,Did the other earthquake/aftershock mess up the power again?!,0,earthquakeaftershock mess power
115,115,aftershock,PA,Aftershock forecast for Puerto Rico,0,aftershock forecast puerto rico
116,116,airplane%20accident,"California, USA",Like Iran shooting an airplane was an accident,1,like iran shooting airplane accident
117,117,airplane%20accident,,Bing Bong Airplane Accident Remix,0,bing bong airplane accident remix
118,118,airplane%20accident,Inside my head,Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,0,morgan surprised see shaun back work already offers condolences dad shaun says
119,119,airplane%20accident,Australia,"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0,thats load rubbish never imminent threat jesus christiran
120,120,airplane%20accident,"Greenwich, CT","Actually, blocking the internet was just an accident. You know, just like when Iran shot down the Ukrainian airplane.",1,actually blocking internet accident know like iran shot ukrainian airplane
121,121,airplane%20accident,"Michigan, USA",Conclusion 8 on previous page is incorrect IMHO. “The witness observations of a streak of light we… https://t.co/tz4Xv7uXCw,0,conclusion previous page incorrect imho witness observations streak light
122,122,airplane%20accident,Iran,"The celebrities in Iran that are very sadly about our compatriots that killed with downing UK airplane,not only di… https://t.co/CtjVwIcH2v",0,celebrities iran sadly compatriots killed downing uk airplanenot
123,123,airplane%20accident,"Virginia, USA",So Iranian radars cannot tell the difference between an incoming missile and an out going Ukrainian airplane? What… https://t.co/hoeEJEUIHE,1,iranian radars cannot tell difference incoming missile going ukrainian airplane
124,124,airplane%20accident,West coast True north  i stan juggalos,"Had a look at your timeline, i see you hate my coun… https://t.co/30cMQ9gsPj",0,look timeline see hate
125,125,airplane%20accident,,"MILITARY MISTAKES, 1988 US-MILITARY SHOT DOWN AN IRANIAN PASSENGER AIRPLANE! 2020 IRANIAN MILITARY SHOT DOWN AN UKR… https://t.co/177gbnqiHt",1,military mistakes usmilitary shot iranian passenger airplane iranian military shot
126,126,airplane%20accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airplane U…,1,secret antispying services middle east high alert demolition commercial airplane
127,127,airplane%20accident,هرجا که دلت باشد,"My friend i live here , believe me... Its our basic rights that know what happened… https://t.co/49nbXHuTfP",0,friend live believe basic rights know
128,128,airplane%20accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airpl… https://t.co/9pZViFDPkv,1,secret antispying services middle east high alert demolition commercial
129,129,airplane%20accident,,How is it that Iran fired between 12 and 20 surface to surface missiles...…..then FIRED A SURFACE TO AIR MISSILE AT… https://t.co/mpkttFCAFB,0,iran fired surface surfacethen fired surface air missile
130,130,airplane%20accident,,"Basically, you killed the general, put the whole country into a confusing status, they shoot a civ… https://t.co/P1lKrqhP1Y",0,basically killed general put whole country confusing status shoot
131,131,airplane%20accident,GOV of Georgia♥️ Janny Cares,"No, I was referring to the shooting down of the airplane. I really do…",0,referring shooting airplane really
132,132,airplane%20accident,"Saskatchewan, Canada","No, I was referring to the shooting down of the airplane. I… https://t.co/xKVqRdtjhR",0,referring shooting airplane
133,133,airplane%20accident,Canada,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000 fee…,0,anyone believes incident accident idiot airplane approx
134,134,airplane%20accident,,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000… https://t.co/axT3omjmE1,0,anyone believes incident accident idiot airplane approx
135,135,airplane%20accident,"Port Charlotte, FL","Iran did not blow up an airplane by accident, they intended for it to be shot down! The accident is that it was a civilian aircraft!",1,iran blow airplane accident intended shot accident civilian aircraft
136,136,airplane%20accident,artemis,But... The airplane accident...,1,airplane accident
137,137,airplane%20accident,,"Mr M u hold p.Trump accountable for the airplane accident.we r very sad too,but pls don’t tweet abo… https://t.co/cqsMfVTLMW",0,mr u hold ptrump accountable airplane accidentwe r sad toobut pls dont tweet
138,138,airplane%20accident,Nigeria,"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…",0,dial tollfree phone event wish report fire flood theft armed robbery
139,139,airplane%20accident,"Ilawe-Ekiti, Nigeria","Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, k… https://t.co/1e2jgI6C8Q",0,dial tollfree phone event wish report fire flood theft armed robbery
140,140,airplane%20accident,Florida,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,1,iran shoot commercial airplane claim accident anyone really believe
141,141,airplane%20accident,Calgary AB,You may be unaware that CND is currently in mourning. 57 Canadians were downed in an airplane by accident in Iran. Flag…,1,may unaware cnd currently mourning canadians downed airplane accident iran
142,142,airplane%20accident,"Saskatchewan, Canada","Sorry for your loss, Iran should never have shot the airplane out of the sky. ‘accident’ they say",0,sorry loss iran never shot airplane sky accident say
143,143,airplane%20accident,"Toronto, Ontario","It wasn't, Iranians knew when takeoff was happening &amp; they knew the airplane manufacturer was American.… https://t.co/9JNbfB0zWH",0,wasnt iranians knew takeoff happening amp knew airplane manufacturer
144,144,airplane%20accident,NYC,Mass anti-government protests erupt in Iran after leaders admit to shooting down airliner. Still cannot believe w… https://t.co/dweXwdLBGn,0,mass antigovernment protests erupt iran leaders admit shooting airliner still cannot believe
145,145,airplane%20accident,New England,I read the whole thread. He’s blaming Trump for Iran shooting down an ai… https://t.co/evL7sdNw0Z,0,read whole thread hes blaming trump iran shooting
146,146,airplane%20accident,Ontario,airplane accident answers. The US designated the Iranian government as terrorists and ha… https://t.co/7a2OgPYNiQ,0,airplane accident answers us designated iranian government terrorists
147,147,airplane%20accident,State of Louisiana-great food,"Hey, got some swamp land for sale. You are either naive or just plain stupid! Which is it? Iran downing t… https://t.co/fu3cjJf1q8",0,hey got swamp land sale either naive plain stupid iran downing
148,148,airplane%20accident,"Sachse, Texas","Perhaps prodded by others, Zelensky decides Ukraine has nothing to lose by piling onto Iran. Never seen so many op… https://t.co/bvZj33dZEp",0,perhaps prodded others zelensky decides ukraine nothing lose piling onto iran never seen many
149,149,airplane%20accident,,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many of Iranian…",0,canadian concerned airplane shot accident canadians many
150,150,airplane%20accident,Waldo,Shooting an airplane down *by accident* is bullshit. Just like *accidental shootings* of firearms. Especially since… https://t.co/xKEYVGXFiQ,0,shooting airplane accident bullshit like accidental shootings firearms especially
151,151,airplane%20accident,United States,"Odd, how the Iranians ACCIDENTALLY blew up the airplane after take off. Was someone just playing with… https://t.co/Y2Yx1gZ6hQ",0,odd iranians accidentally blew airplane take someone playing
152,152,airplane%20accident,,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many… https://t.co/v8MsKmrLyB",0,canadian concerned airplane shot accident canadians
153,153,airplane%20accident,United Kingdom,"And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it was an…",0,excuse shooting commercial airplane innocent civilians oh sorry jeremy say
154,154,airplane%20accident,"Milwaukee, WI",You beat me to this response. You have to TRACK an airplane with a surface to air missile.…,0,beat response track airplane surface air
155,155,airplane%20accident,"French River, Ontario, Canada","It is unimaginable to have 174 people gone in one ""accident."" How could anyone point a surface to air missile at a… https://t.co/7Abwo7HXuz",0,unimaginable people gone one accident could anyone point surface air missile
156,156,airplane%20accident,"Siesta Key, FL","So it was just an accident that Iran rocketed an airplane, killing 180 people. And libs defending it like that’s ok b…",0,accident iran rocketed airplane killing people libs defending like thats ok
157,157,airplane%20accident,"Manchester, England","And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it… https://t.co/gUkc4ToutN",0,excuse shooting commercial airplane innocent civilians oh sorry jeremy say
158,158,airplane%20accident,"New Jersey, USA",Well let’s see. We know so far the body count of demonstrators was over… https://t.co/sPpCsKbUq0,0,well lets see know far body count demonstrators
159,159,airplane%20accident,"Michigan, USA",You beat me to this response. You have to TRACK an airplane with a surface to air missi… https://t.co/RFyWvNqO2Z,0,beat response track airplane surface air
160,160,airplane%20accident,"Canada, eh",Good lord...... Yeah. It was an accident. The airplane didn't give the missile the right away.... 😒,0,good lord yeah accident airplane didnt give missile right away
161,161,airplane%20accident,,"The Iranian leadership has downed the commercial airplane on purpose, who are they kidding by saying it was by accident",0,iranian leadership downed commercial airplane purpose kidding saying accident
